title,city,state,country,latitude,longitude,description,website,human_name,ig_name,ig_url,slogan,type,tier,Shop
Workhorse Irons,Wyoming,MS,USA,42.890075,-85.674505,Eco-Supplier,https://workhorseirons.com/,Workhorse Irons,workhorseirons,https://www.instagram.com/workhorseirons,,Eco-Supplier,1,
Coalition Tattoo Supply,Portland,OR,USA,45.513163,-122.658047,Eco-Supplier,https://www.coalitiontattoosupply.com/,Coalition Tattoo Supply,coalitiontattoosupply,https://www.instagram.com/coalitiontattoosupply,,Eco-Supplier,1,
Bowers Tattoo Supply ,Des Moines,IA,USA,41.61385,-93.66604,Eco-Supplier,https://www.bowerstattoosupply.com/,Bowers Tattoo Supply,bowerssupply,https://www.instagram.com/bowerssupply,,Eco-Supplier,1,
Good Judy,Toronto,ON,CA,43.65433,-79.4443,Eco-Supplier,https://goodjudy.ca/,Good Judy,goodjudy.ca,https://www.instagram.com/goodjudy.ca,Welcome to Eco Tattooing,Eco-Supplier,1,
Lee D'Angelo,Toronto,ON,CA,"	43.64707","	-79.4261",eco-tattooer,leedangelo.com,Lee D'Angelo,lee_dangelo,https://www.instagram.com/lee_dangelo,,Eco-Tattooer,2,private
Brittany Randell,Toronto,ON,CA,43.67483345,"	-79.4311301",eco-tattooer,humblebeetattoo.ca,Brittany Randell,humblebeetattoo,https://www.instagram.com/humblebeetattoo,,Eco-Tattooer,2,@eden.tattoo.studio
Anna Zanete,Toronto,ON,CA,43.67483345,"	-79.4311301",eco-tattooer,annazanete.com,Anna Zanete,annazanete,https://www.instagram.com/annazanete,,Eco-Tattooer,2,@eden.tattoo.studio
Karla DelKid,Toronto,ON,CA,43.67483345,"	-79.4311301",eco-tattooer,,Karla DelKid,fantasma.inkk,https://www.instagram.com/fantasma.inkk,,Eco-Tattooer,2,@eden.tattoo.studio
Jared Burton,Toronto,ON,CA,43.66663,-79.3484,eco-tattooer,softboy.ca,Jared Burton,softboy.ca,https://www.instagram.com/softboy.ca,,Eco-Tattooer,2,private?
Tania Zhang,Toronto,ON,CA,43.64991,-79.43298,eco-tattooer,smokingmermaid.bigcartel.com,Tania Zhang,smokingmermaidtattoo,https://www.instagram.com/smokingmermaidtattoo,,Eco-Tattooer,2,archivetattoo
